Date,ETF,ETF
2014-12-15,SPY,SPY
2014-12-15,MTUM,MTUM
2014-12-15,VLUE,VLUE
2014-12-15,USMV,USMV
2014-12-15,EFA,EFA
2014-12-16,SPY,SPY
2014-12-16,MTUM,MTUM
2014-12-16,VLUE,VLUE
2014-12-16,USMV,USMV
2014-12-16,EFA,EFA
2014-12-17,SPY,SPY
2014-12-17,MTUM,MTUM
2014-12-17,VLUE,VLUE
2014-12-17,USMV,USMV
2014-12-17,EFA,EFA
2014-12-18,SPY,SPY
2014-12-18,MTUM,MTUM
2014-12-18,VLUE,VLUE
2014-12-18,USMV,USMV
2014-12-18,EFA,EFA
2014-12-19,SPY,SPY
2014-12-19,MTUM,MTUM
2014-12-19,VLUE,VLUE
2014-12-19,USMV,USMV
2014-12-19,EFA,EFA
2014-12-22,SPY,SPY
2014-12-22,MTUM,MTUM
2014-12-22,VLUE,VLUE
2014-12-22,USMV,USMV
2014-12-22,EFA,EFA
2014-12-23,SPY,SPY
2014-12-23,MTUM,MTUM
2014-12-23,VLUE,VLUE
2014-12-23,USMV,USMV
2014-12-23,EFA,EFA
2014-12-24,SPY,SPY
2014-12-24,MTUM,MTUM
2014-12-24,VLUE,VLUE
2014-12-24,USMV,USMV
2014-12-24,EFA,EFA
2014-12-26,SPY,SPY
2014-12-26,MTUM,MTUM
2014-12-26,VLUE,VLUE
2014-12-26,USMV,USMV
2014-12-26,EFA,EFA
2014-12-29,SPY,SPY
2014-12-29,MTUM,MTUM
2014-12-29,VLUE,VLUE
2014-12-29,USMV,USMV
2014-12-29,EFA,EFA
2014-12-30,SPY,SPY
2014-12-30,MTUM,MTUM
2014-12-30,VLUE,VLUE
2014-12-30,USMV,USMV
2014-12-30,EFA,EFA
2014-12-31,SPY,SPY
2014-12-31,MTUM,MTUM
2014-12-31,VLUE,VLUE
2014-12-31,USMV,USMV
2014-12-31,EFA,EFA
2015-01-02,SPY,SPY
2015-01-02,MTUM,MTUM
2015-01-02,VLUE,VLUE
2015-01-02,USMV,USMV
2015-01-02,EFA,EFA
2015-01-05,SPY,SPY
2015-01-05,MTUM,MTUM
2015-01-05,VLUE,VLUE
2015-01-05,USMV,USMV
2015-01-05,EFA,EFA
2015-01-06,SPY,SPY
2015-01-06,MTUM,MTUM
2015-01-06,VLUE,VLUE
2015-01-06,USMV,USMV
2015-01-06,EFA,EFA
2015-01-07,SPY,SPY
2015-01-07,MTUM,MTUM
2015-01-07,VLUE,VLUE
2015-01-07,USMV,USMV
2015-01-07,EFA,EFA
2015-01-08,SPY,SPY
2015-01-08,MTUM,MTUM
2015-01-08,VLUE,VLUE
2015-01-08,USMV,USMV
2015-01-08,EFA,EFA
2015-01-09,SPY,SPY
2015-01-09,MTUM,MTUM
2015-01-09,VLUE,VLUE
2015-01-09,USMV,USMV
2015-01-09,EFA,EFA
2015-01-12,SPY,SPY
2015-01-12,MTUM,MTUM
2015-01-12,VLUE,VLUE
2015-01-12,USMV,USMV
2015-01-12,EFA,EFA
2015-01-13,SPY,SPY
2015-01-13,MTUM,MTUM
2015-01-13,VLUE,VLUE
2015-01-13,USMV,USMV
2015-01-13,EFA,EFA
2015-01-14,SPY,SPY
2015-01-14,MTUM,MTUM
2015-01-14,VLUE,VLUE
2015-01-14,USMV,USMV
2015-01-14,EFA,EFA
2015-01-15,SPY,SPY
2015-01-15,MTUM,MTUM
2015-01-15,VLUE,VLUE
2015-01-15,USMV,USMV
2015-01-15,EFA,EFA
2015-01-16,SPY,SPY
2015-01-16,MTUM,MTUM
2015-01-16,VLUE,VLUE
2015-01-16,USMV,USMV
2015-01-16,EFA,EFA
2015-01-20,SPY,SPY
2015-01-20,MTUM,MTUM
2015-01-20,VLUE,VLUE
2015-01-20,USMV,USMV
2015-01-20,EFA,EFA
2015-01-21,SPY,SPY
2015-01-21,MTUM,MTUM
2015-01-21,VLUE,VLUE
2015-01-21,USMV,USMV
2015-01-21,EFA,EFA
2015-01-22,SPY,SPY
2015-01-22,MTUM,MTUM
2015-01-22,VLUE,VLUE
2015-01-22,USMV,USMV
2015-01-22,EFA,EFA
2015-01-23,SPY,SPY
2015-01-23,MTUM,MTUM
2015-01-23,VLUE,VLUE
2015-01-23,USMV,USMV
2015-01-23,EFA,EFA
2015-01-26,SPY,SPY
2015-01-26,MTUM,MTUM
2015-01-26,VLUE,VLUE
2015-01-26,USMV,USMV
2015-01-26,EFA,EFA
2015-01-27,SPY,SPY
2015-01-27,MTUM,MTUM
2015-01-27,VLUE,VLUE
2015-01-27,USMV,USMV
2015-01-27,EFA,EFA
2015-01-28,SPY,SPY
2015-01-28,MTUM,MTUM
2015-01-28,VLUE,VLUE
2015-01-28,USMV,USMV
2015-01-28,EFA,EFA
2015-01-29,SPY,SPY
2015-01-29,MTUM,MTUM
2015-01-29,VLUE,VLUE
2015-01-29,USMV,USMV
2015-01-29,EFA,EFA
2015-01-30,SPY,SPY
2015-01-30,MTUM,MTUM
2015-01-30,VLUE,VLUE
2015-01-30,USMV,USMV
2015-01-30,EFA,EFA
2015-02-02,SPY,SPY
2015-02-02,MTUM,MTUM
2015-02-02,VLUE,VLUE
2015-02-02,USMV,USMV
2015-02-02,EFA,EFA
2015-02-03,SPY,SPY
2015-02-03,MTUM,MTUM
2015-02-03,VLUE,VLUE
2015-02-03,USMV,USMV
2015-02-03,EFA,EFA
2015-02-04,SPY,SPY
2015-02-04,MTUM,MTUM
2015-02-04,VLUE,VLUE
2015-02-04,USMV,USMV
2015-02-04,EFA,EFA
2015-02-05,SPY,SPY
2015-02-05,MTUM,MTUM
2015-02-05,VLUE,VLUE
2015-02-05,USMV,USMV
2015-02-05,EFA,EFA
2015-02-06,SPY,SPY
2015-02-06,MTUM,MTUM
2015-02-06,VLUE,VLUE
2015-02-06,USMV,USMV
2015-02-06,EFA,EFA
2015-02-09,SPY,SPY
2015-02-09,MTUM,MTUM
2015-02-09,VLUE,VLUE
2015-02-09,USMV,USMV
2015-02-09,EFA,EFA
2015-02-10,SPY,SPY
2015-02-10,MTUM,MTUM
2015-02-10,VLUE,VLUE
2015-02-10,USMV,USMV
2015-02-10,EFA,EFA
2015-02-11,SPY,SPY
2015-02-11,MTUM,MTUM
2015-02-11,VLUE,VLUE
2015-02-11,USMV,USMV
2015-02-11,EFA,EFA
2015-02-12,SPY,SPY
2015-02-12,MTUM,MTUM
2015-02-12,VLUE,VLUE
2015-02-12,USMV,USMV
2015-02-12,EFA,EFA
2015-02-13,SPY,SPY
2015-02-13,MTUM,MTUM
2015-02-13,VLUE,VLUE
2015-02-13,USMV,USMV
2015-02-13,EFA,EFA
2015-02-17,SPY,SPY
2015-02-17,MTUM,MTUM
2015-02-17,VLUE,VLUE
2015-02-17,USMV,USMV
2015-02-17,EFA,EFA
2015-02-18,SPY,SPY
2015-02-18,MTUM,MTUM
2015-02-18,VLUE,VLUE
2015-02-18,USMV,USMV
2015-02-18,EFA,EFA
2015-02-19,SPY,SPY
2015-02-19,MTUM,MTUM
2015-02-19,VLUE,VLUE
2015-02-19,USMV,USMV
2015-02-19,EFA,EFA
2015-02-20,SPY,SPY
2015-02-20,MTUM,MTUM
2015-02-20,VLUE,VLUE
2015-02-20,USMV,USMV
2015-02-20,EFA,EFA
2015-02-23,SPY,SPY
2015-02-23,MTUM,MTUM
2015-02-23,VLUE,VLUE
2015-02-23,USMV,USMV
2015-02-23,EFA,EFA
2015-02-24,SPY,SPY
2015-02-24,MTUM,MTUM
2015-02-24,VLUE,VLUE
2015-02-24,USMV,USMV
2015-02-24,EFA,EFA
2015-02-25,SPY,SPY
2015-02-25,MTUM,MTUM
2015-02-25,VLUE,VLUE
2015-02-25,USMV,USMV
2015-02-25,EFA,EFA
2015-02-26,SPY,SPY
2015-02-26,MTUM,MTUM
2015-02-26,VLUE,VLUE
2015-02-26,USMV,USMV
2015-02-26,EFA,EFA
2015-02-27,SPY,SPY
2015-02-27,MTUM,MTUM
2015-02-27,VLUE,VLUE
2015-02-27,USMV,USMV
2015-02-27,EFA,EFA
2015-03-02,SPY,SPY
2015-03-02,MTUM,MTUM
2015-03-02,VLUE,VLUE
2015-03-02,USMV,USMV
2015-03-02,EFA,EFA
2015-03-03,SPY,SPY
2015-03-03,MTUM,MTUM
2015-03-03,VLUE,VLUE
2015-03-03,USMV,USMV
2015-03-03,EFA,EFA
2015-03-04,SPY,SPY
2015-03-04,MTUM,MTUM
2015-03-04,VLUE,VLUE
2015-03-04,USMV,USMV
2015-03-04,EFA,EFA
2015-03-05,SPY,SPY
2015-03-05,MTUM,MTUM
2015-03-05,VLUE,VLUE
2015-03-05,USMV,USMV
2015-03-05,EFA,EFA
2015-03-06,SPY,SPY
2015-03-06,MTUM,MTUM
2015-03-06,VLUE,VLUE
2015-03-06,USMV,USMV
2015-03-06,EFA,EFA
2015-03-09,SPY,SPY
2015-03-09,MTUM,MTUM
2015-03-09,VLUE,VLUE
2015-03-09,USMV,USMV
2015-03-09,EFA,EFA
2015-03-10,SPY,SPY
2015-03-10,MTUM,MTUM
2015-03-10,VLUE,VLUE
2015-03-10,USMV,USMV
2015-03-10,EFA,EFA
2015-03-11,SPY,SPY
2015-03-11,MTUM,MTUM
2015-03-11,VLUE,VLUE
2015-03-11,USMV,USMV
2015-03-11,EFA,EFA
2015-03-12,SPY,SPY
2015-03-12,MTUM,MTUM
2015-03-12,VLUE,VLUE
2015-03-12,USMV,USMV
2015-03-12,EFA,EFA
2015-03-13,SPY,SPY
2015-03-13,MTUM,MTUM
2015-03-13,VLUE,VLUE
2015-03-13,USMV,USMV
2015-03-13,EFA,EFA
2015-03-16,SPY,SPY
2015-03-16,MTUM,MTUM
2015-03-16,VLUE,VLUE
2015-03-16,USMV,USMV
2015-03-16,EFA,EFA
2015-03-17,SPY,SPY
2015-03-17,MTUM,MTUM
2015-03-17,VLUE,VLUE
2015-03-17,USMV,USMV
2015-03-17,EFA,EFA
2015-03-18,SPY,SPY
2015-03-18,MTUM,MTUM
2015-03-18,VLUE,VLUE
2015-03-18,USMV,USMV
2015-03-18,EFA,EFA
2015-03-19,SPY,SPY
2015-03-19,MTUM,MTUM
2015-03-19,VLUE,VLUE
2015-03-19,USMV,USMV
2015-03-19,EFA,EFA
2015-03-20,SPY,SPY
2015-03-20,MTUM,MTUM
2015-03-20,VLUE,VLUE
2015-03-20,USMV,USMV
2015-03-20,EFA,EFA
2015-03-23,SPY,SPY
2015-03-23,MTUM,MTUM
2015-03-23,VLUE,VLUE
2015-03-23,USMV,USMV
2015-03-23,EFA,EFA
2015-03-24,SPY,SPY
2015-03-24,MTUM,MTUM
2015-03-24,VLUE,VLUE
2015-03-24,USMV,USMV
2015-03-24,EFA,EFA
2015-03-25,SPY,SPY
2015-03-25,MTUM,MTUM
2015-03-25,VLUE,VLUE
2015-03-25,USMV,USMV
2015-03-25,EFA,EFA
2015-03-26,SPY,SPY
2015-03-26,MTUM,MTUM
2015-03-26,VLUE,VLUE
2015-03-26,USMV,USMV
2015-03-26,EFA,EFA
2015-03-27,SPY,SPY
2015-03-27,MTUM,MTUM
2015-03-27,VLUE,VLUE
2015-03-27,USMV,USMV
2015-03-27,EFA,EFA
2015-03-30,SPY,SPY
2015-03-30,MTUM,MTUM
2015-03-30,VLUE,VLUE
2015-03-30,USMV,USMV
2015-03-30,EFA,EFA
2015-03-31,SPY,SPY
2015-03-31,MTUM,MTUM
2015-03-31,VLUE,VLUE
2015-03-31,USMV,USMV
2015-03-31,EFA,EFA
