Date,ETF,target
2014-12-15,SPY,-0.0080519577477899
2014-12-15,MTUM,-0.0110992406614335
2014-12-15,VLUE,-0.0061564680888808
2014-12-15,USMV,-0.0053230147381598
2014-12-15,EFA,0.0071445441865171
2014-12-16,SPY,0.0194152345237179
2014-12-16,MTUM,0.016900123959223
2014-12-16,VLUE,0.0
2014-12-16,USMV,0.0173833036685666
2014-12-16,EFA,0.0118823871877282
2014-12-17,SPY,0.0244280033187625
2014-12-17,MTUM,0.0259107860707824
2014-12-17,VLUE,0.0371473902285081
2014-12-17,USMV,0.0185581356445455
2014-12-17,EFA,0.0176853999241934
2014-12-18,SPY,0.0042458509722563
2014-12-18,MTUM,0.0004331867044947
2014-12-18,VLUE,0.0101708040809752
2014-12-18,USMV,0.0022038995213707
2014-12-18,EFA,0.001459568893681
2014-12-19,SPY,0.0045894509289564
2014-12-19,MTUM,0.0001445411748968
2014-12-19,VLUE,0.0049718165349745
2014-12-19,USMV,0.0060968059752942
2014-12-19,EFA,0.0048505585794419
2014-12-22,SPY,0.0013487126561163
2014-12-22,MTUM,-0.0052126102353433
2014-12-22,VLUE,0.0068897999388075
2014-12-22,USMV,0.0012148681922812
2014-12-22,EFA,-0.003231145075043
2014-12-23,SPY,9.618563466640944e-05
2014-12-23,MTUM,0.0014120117395334
2014-12-23,VLUE,-0.0017871953455268
2014-12-23,USMV,0.0006837865480848
2014-12-23,EFA,0.0045204884575011
2014-12-24,SPY,0.0032198117981684
2014-12-24,MTUM,0.00464432688905
2014-12-24,VLUE,0.0028513690922748
2014-12-24,USMV,0.0019495278464025
2014-12-24,EFA,0.0025740377604276
2014-12-26,SPY,0.0013421783326658
2014-12-26,MTUM,-0.000289545762372
2014-12-26,VLUE,0.0017966145567397
2014-12-26,USMV,0.0009733405260355
2014-12-26,EFA,-0.0072562506343508
2014-12-29,SPY,-0.0053807844298978
2014-12-29,MTUM,-0.0078524880260065
2014-12-29,VLUE,-0.0043476167509345
2014-12-29,USMV,-0.0041439052883861
2014-12-29,EFA,-0.0092677891283729
2014-12-30,SPY,-0.0099724796258203
2014-12-30,MTUM,-0.0064440099977916
2014-12-30,VLUE,-0.008297301578453
2014-12-30,USMV,-0.0112996668690561
2014-12-30,EFA,-0.0062264228891362
2014-12-31,SPY,-0.0005348336817385
2014-12-31,MTUM,-0.0016173215963685
2014-12-31,VLUE,-0.0094370293983532
2014-12-31,USMV,0.000741102509742
2014-12-31,EFA,-0.0042825079234078
2015-01-02,SPY,-0.0182251720282395
2015-01-02,MTUM,-0.013035152553108
2015-01-02,VLUE,0.0
2015-01-02,USMV,-0.0094248245336009
2015-01-02,EFA,-0.0238881201418485
2015-01-05,SPY,-0.0094633731295548
2015-01-05,MTUM,-0.0085351645100682
2015-01-05,VLUE,-0.0210176571013079
2015-01-05,USMV,-0.002744741500527
2015-01-05,EFA,-0.0113919445883878
2015-01-06,SPY,0.0123842053436846
2015-01-06,MTUM,0.016405993796938
2015-01-06,VLUE,0.0079335354166184
2015-01-06,USMV,0.0126630253133903
2015-01-06,EFA,0.0110536303517315
2015-01-07,SPY,0.0175891898040137
2015-01-07,MTUM,0.0202086899789128
2015-01-07,VLUE,0.02009426754437
2015-01-07,USMV,0.0146954941546752
2015-01-07,EFA,0.0134388085778409
2015-01-08,SPY,-0.0080456945551286
2015-01-08,MTUM,-0.0052324640866154
2015-01-08,VLUE,-0.0094597652510881
2015-01-08,USMV,-0.0058524666000994
2015-01-08,EFA,-0.0048509374793288
2015-01-09,SPY,-0.0078643502104899
2015-01-09,MTUM,-0.0058462045068807
2015-01-09,VLUE,-0.0104794620302105
2015-01-09,USMV,-0.0044116821491521
2015-01-09,EFA,-0.0023499087293422
2015-01-12,SPY,-0.0028168502743985
2015-01-12,MTUM,-0.0033771517615806
2015-01-12,VLUE,-0.0027924111085828
2015-01-12,USMV,-0.0009825679617124
2015-01-12,EFA,0.0050290300052799
2015-01-13,SPY,-0.006055406345822
2015-01-13,MTUM,-0.0033888498795903
2015-01-13,VLUE,-0.0079546477188609
2015-01-13,USMV,-0.0034487774437112
2015-01-13,EFA,-0.0028465324984952
2015-01-14,SPY,-0.0092027170855359
2015-01-14,MTUM,-0.0066630220070402
2015-01-14,VLUE,-0.0089658109133407
2015-01-14,USMV,-0.0014812231544635
2015-01-14,EFA,0.0063522816827114
2015-01-15,SPY,0.0130286948753991
2015-01-15,MTUM,0.0121085547667333
2015-01-15,VLUE,0.0133409755669488
2015-01-15,USMV,0.0108134643161317
2015-01-15,EFA,0.0129141290882285
2015-01-16,SPY,0.0021305344614017
2015-01-16,MTUM,0.0054161023564597
2015-01-16,VLUE,-0.0032793067971912
2015-01-16,USMV,0.0017094066603188
2015-01-16,EFA,0.0034485864771054
2015-01-20,SPY,0.0050353865969969
2015-01-20,MTUM,0.0039339203678854
2015-01-20,VLUE,0.0074800596088647
2015-01-20,USMV,0.0017062643838476
2015-01-20,EFA,0.0078380733586213
2015-01-21,SPY,0.0147616263846124
2015-01-21,MTUM,0.0170132207277521
2015-01-21,VLUE,0.007270600595613
2015-01-21,USMV,0.0145112451886568
2015-01-21,EFA,0.0037340602299237
2015-01-22,SPY,-0.0054979854015431
2015-01-22,MTUM,-0.002003548861597
2015-01-22,VLUE,0.0032314433613855
2015-01-22,USMV,-0.0052962263363069
2015-01-22,EFA,-0.0056877642377629
2015-01-23,SPY,0.0023386513925772
2015-01-23,MTUM,0.0010023378543544
2015-01-23,VLUE,-0.0015376144075882
2015-01-23,USMV,0.0021698827326287
2015-01-23,EFA,0.0135967718623559
2015-01-26,SPY,-0.0132780587196967
2015-01-26,MTUM,-0.0128179544597131
2015-01-26,VLUE,-0.0041631091667214
2015-01-26,USMV,-0.007251739391722
2015-01-26,EFA,0.0014458160748678
2015-01-27,SPY,-0.012907199617428
