Date,QMJ,MKT-Rf,SMB,HML,UMD
1926-07-01,,,,,
1926-07-02,,,,,
1926-07-06,,,,,
1926-07-07,,,,,
1926-07-08,,,,,
1926-07-09,,,,,
1926-07-10,,,,,
1926-07-12,,,,,
1926-07-13,,,,,
1926-07-14,,,,,
1926-07-15,,,,,
1926-07-16,,,,,
1926-07-17,,,,,
1926-07-19,,,,,
1926-07-20,,,,,
1926-07-21,,,,,
1926-07-22,,,,,
1926-07-23,,,,,
1926-07-24,,,,,
1926-07-26,,,,,
1926-07-27,,,,,
1926-07-28,,,,,
1926-07-29,,,,,
1926-07-30,,,,,
1926-07-31,,,,,
1926-08-02,,,,,
1926-08-03,,,,,
1926-08-04,,,,,
1926-08-05,,,,,
1926-08-06,,,,,
1926-08-07,,,,,
1926-08-09,,,,,
1926-08-10,,,,,
1926-08-11,,,,,
1926-08-12,,,,,
1926-08-13,,,,,
1926-08-14,,,,,
1926-08-16,,,,,
1926-08-17,,,,,
1926-08-18,,,,,
1926-08-19,,,,,
1926-08-20,,,,,
1926-08-21,,,,,
1926-08-23,,,,,
1926-08-24,,,,,
1926-08-25,,,,,
1926-08-26,,,,,
1926-08-27,,,,,
1926-08-28,,,,,
1926-08-30,,,,,
1926-08-31,,,,,
1926-09-01,,,,,
1926-09-02,,,,,
1926-09-03,,,,,
1926-09-07,,,,,
1926-09-08,,,,,
1926-09-09,,,,,
1926-09-10,,,,,
1926-09-11,,,,,
1926-09-13,,,,,
1926-09-14,,,,,
1926-09-15,,,,,
1926-09-16,,,,,
1926-09-17,,,,,
1926-09-18,,,,,
1926-09-20,,,,,
1926-09-21,,,,,
1926-09-22,,,,,
1926-09-23,,,,,
1926-09-24,,,,,
1926-09-25,,,,,
1926-09-27,,,,,
1926-09-28,,,,,
1926-09-29,,,,,
1926-09-30,,,,,
1926-10-01,,,,,
1926-10-02,,,,,
1926-10-04,,,,,
1926-10-05,,,,,
1926-10-06,,,,,
1926-10-07,,,,,
1926-10-08,,,,,
1926-10-09,,,,,
1926-10-11,,,,,
1926-10-13,,,,,
1926-10-14,,,,,
1926-10-15,,,,,
1926-10-16,,,,,
1926-10-18,,,,,
1926-10-19,,,,,
1926-10-20,,,,,
1926-10-21,,,,,
1926-10-22,,,,,
1926-10-23,,,,,
1926-10-25,,,,,
1926-10-26,,,,,
1926-10-27,,,,,
1926-10-28,,,,,
1926-10-29,,,,,
1926-10-30,,,,,
1926-11-01,,,,,
1926-11-03,,,,,
1926-11-04,,,,,
1926-11-05,,,,,
1926-11-06,,,,,
1926-11-08,,,,,
1926-11-09,,,,,
1926-11-10,,,,,
1926-11-11,,,,,
1926-11-12,,,,,
1926-11-13,,,,,
1926-11-15,,,,,
1926-11-16,,,,,
1926-11-17,,,,,
1926-11-18,,,,,
1926-11-19,,,,,
1926-11-20,,,,,
1926-11-22,,,,,
1926-11-23,,,,,
1926-11-24,,,,,
1926-11-26,,,,,
1926-11-27,,,,,
1926-11-29,,,,,
1926-11-30,,,,,
1926-12-01,,,,,
1926-12-02,,,,,
1926-12-03,,,,,
1926-12-04,,,,,
1926-12-06,,,,,
1926-12-07,,,,,
1926-12-08,,,,,
1926-12-09,,,,,
1926-12-10,,,,,
1926-12-11,,,,,
1926-12-13,,,,,
1926-12-14,,,,,
1926-12-15,,,,,
1926-12-16,,,,,
1926-12-17,,,,,
1926-12-18,,,,,
1926-12-20,,,,,
1926-12-21,,,,,
1926-12-22,,,,,
1926-12-23,,,,,
1926-12-24,,,,,
1926-12-27,,,,,
1926-12-28,,,,,
1926-12-29,,,,,
1926-12-30,,,,,
1926-12-31,,,,,
1927-01-03,,,,,
1927-01-04,,,,,
1927-01-05,,,,,
1927-01-06,,,,,
1927-01-07,,,,,
1927-01-08,,,,,
1927-01-10,,,,,
1927-01-11,,,,,
1927-01-12,,,,,
1927-01-13,,,,,
1927-01-14,,,,,
1927-01-15,,,,,
1927-01-17,,,,,
