Date,10Y_Yield_Constant_Maturity,20Y_Yield_Constant_Maturity,Building_Permits_Contribution,Consumer_Confidence_Expectations,Consumer_Confidence_Index,PMI_Manufacturing_Global,PMI_Services_Business_Activity_US,Unemployment_Initial_Claims
1/1/2014,2.86,3.52,-0.134919104,81.3,79.53,53.72333333,52.905,332000
1/6/2014,,,,,,,,319800
1/13/2014,,,,,,,,327300
1/20/2014,,,,,,,,345700
1/27/2014,,,,,,,,331666.6667
2/1/2014,2.71,3.38,0.197822222,76.1,78.23333333,56.98333333,51.905,
2/3/2014,,,,,,,,337300
2/10/2014,,,,,,,,332800
2/17/2014,,,,,,,,342111.1111
2/24/2014,,,,,,,,321100
3/1/2014,2.72,3.35,0.023985303,84.15,83.36666667,55.5,60.32,
3/3/2014,,,,,,,,320625
3/10/2014,,,,,,,,321444.4444
3/17/2014,,,,,,,,313666.6667
3/24/2014,,,,,,,,331888.8889
3/31/2014,,,,,,,,306300
4/1/2014,2.71,3.27,0.099880525,84.4,81.9,55.4,59.9,
4/7/2014,,,,,,,,306666.6667
4/14/2014,,,,,,,,326375
4/21/2014,,,,,,,,343000
4/28/2014,,,,,,,,323375
5/1/2014,2.56,3.12,-0.188915687,84.15,82.46666667,56.3,61.4,
5/5/2014,,,,,,,,300714.2857
5/12/2014,,,,,,,,325285.7143
5/19/2014,,,,,,,,304571.4286
5/26/2014,,,,,,,,312875
6/1/2014,2.6,3.15,-0.048015148,85.8,86,57.4,66.7,
6/2/2014,,,,,,,,317000
6/9/2014,,,,,,,,314166.6667
6/16/2014,,,,,,,,313857.1429
6/23/2014,,,,,,,,312000
6/30/2014,,,,,,,,302888.8889
7/1/2014,2.54,3.07,0.191164393,92.3,90.5,56.05,60.4,
7/7/2014,,,,,,,,304250
7/14/2014,,,,,,,,291500
7/21/2014,,,,,,,,302875
7/28/2014,,,,,,,,295000
8/1/2014,2.42,2.94,-0.079879041,92,93.06666667,57.95,60.1,
8/4/2014,,,,,,,,308875
8/11/2014,,,,,,,,301333.3333
8/18/2014,,,,,,,,298571.4286
8/25/2014,,,,,,,,303125
9/1/2014,2.53,3.01,0.067777778,85.05,88,57.7,56.6,310625
9/8/2014,,,,,,,,287666.6667
9/15/2014,,,,,,,,295625
9/22/2014,,,,,,,,289875
9/29/2014,,,,,,,,290500
10/1/2014,2.3,2.77,0.12875,94.4,94.23333333,56.05,54,
10/6/2014,,,,,,,,274285.7143
10/13/2014,,,,,,,,288125
10/20/2014,,,,,,,,289222.2222
10/27/2014,,,,,,,,280400
11/1/2014,2.33,2.76,-0.117272727,88.15,90.23333333,54.75,51.9,
11/3/2014,,,,,,,,289857.1429
11/10/2014,,,,,,,,293428.5714
11/17/2014,,,,,,,,307000
11/24/2014,,,,,,,,294625
12/1/2014,2.21,2.55,0.011428571,88.5,92.93333333,53.8,49.4,290555.5556
12/8/2014,,,,,,,,289500
12/15/2014,,,,,,,,278750
12/22/2014,,,,,,,,290125
12/29/2014,,,,,,,,296100
1/1/2015,1.88,2.2,-0.032222222,96.7,103.5,53.8,55.3,
1/5/2015,,,,,,,,306000
1/12/2015,,,,,,,,301900
1/19/2015,,,,,,,,264875
1/26/2015,,,,,,,,282625
2/1/2015,1.98,2.34,0.16125,88.6,98,54.7,63.5,
2/2/2015,,,,,,,,297500
2/9/2015,,,,,,,,284600
2/16/2015,,,,,,,,303125
2/23/2015,,,,,,,,317200
3/1/2015,2.04,2.41,-0.15,96,101.3666667,55.5,63.9,
3/2/2015,,,,,,,,292111.1111
3/9/2015,,,,,,,,289750
3/16/2015,,,,,,,,285250
3/23/2015,,,,,,,,268000
3/30/2015,,,,,,,,279888.8889
4/1/2015,1.94,2.33,0.258333333,87.3,94.6,54.15,60.5,
4/6/2015,,,,,,,,293666.6667
4/13/2015,,,,,,,,295250
4/20/2015,,,,,,,,266666.6667
